,V1,V2,V3,V4,V5,V6
1,800,0,0.3048,71.3,0.00266337,126.201
2,1000,0,0.3048,71.3,0.00266337,125.201
3,1250,0,0.3048,71.3,0.00266337,125.951
4,1600,0,0.3048,71.3,0.00266337,127.591
5,2000,0,0.3048,71.3,0.00266337,127.461
6,2500,0,0.3048,71.3,0.00266337,125.571
7,3150,0,0.3048,71.3,0.00266337,125.201
8,4000,0,0.3048,71.3,0.00266337,123.061
9,5000,0,0.3048,71.3,0.00266337,121.301
10,6300,0,0.3048,71.3,0.00266337,119.541
11,8000,0,0.3048,71.3,0.00266337,117.151
12,10000,0,0.3048,71.3,0.00266337,115.391
13,12500,0,0.3048,71.3,0.00266337,112.241
14,16000,0,0.3048,71.3,0.00266337,108.721
15,500,0,0.3048,55.5,0.00283081,126.416
16,630,0,0.3048,55.5,0.00283081,127.696
17,800,0,0.3048,55.5,0.00283081,128.086
18,1000,0,0.3048,55.5,0.00283081,126.966
19,1250,0,0.3048,55.5,0.00283081,126.086
20,1600,0,0.3048,55.5,0.00283081,126.986
21,2000,0,0.3048,55.5,0.00283081,126.616
22,2500,0,0.3048,55.5,0.00283081,124.106
23,3150,0,0.3048,55.5,0.00283081,123.236
24,4000,0,0.3048,55.5,0.00283081,121.106
25,5000,0,0.3048,55.5,0.00283081,119.606
26,6300,0,0.3048,55.5,0.00283081,117.976
27,8000,0,0.3048,55.5,0.00283081,116.476
28,10000,0,0.3048,55.5,0.00283081,113.076
29,12500,0,0.3048,55.5,0.00283081,111.076
30,200,0,0.3048,39.6,0.00310138,118.129
31,250,0,0.3048,39.6,0.00310138,119.319
32,315,0,0.3048,39.6,0.00310138,122.779
33,400,0,0.3048,39.6,0.00310138,124.809
34,500,0,0.3048,39.6,0.00310138,126.959
35,630,0,0.3048,39.6,0.00310138,128.629
36,800,0,0.3048,39.6,0.00310138,129.099
37,1000,0,0.3048,39.6,0.00310138,127.899
38,1250,0,0.3048,39.6,0.00310138,125.499
39,1600,0,0.3048,39.6,0.00310138,124.049
40,2000,0,0.3048,39.6,0.00310138,123.689
41,2500,0,0.3048,39.6,0.00310138,121.399
42,3150,0,0.3048,39.6,0.00310138,120.319
43,4000,0,0.3048,39.6,0.00310138,119.229
44,5000,0,0.3048,39.6,0.00310138,117.789
45,6300,0,0.3048,39.6,0.00310138,116.229
46,8000,0,0.3048,39.6,0.00310138,114.779
47,10000,0,0.3048,39.6,0.00310138,112.139
48,12500,0,0.3048,39.6,0.00310138,109.619
49,200,0,0.3048,31.7,0.00331266,117.195
50,250,0,0.3048,31.7,0.00331266,118.595
51,315,0,0.3048,31.7,0.00331266,122.765
52,400,0,0.3048,31.7,0.00331266,125.045
53,500,0,0.3048,31.7,0.00331266,127.315
54,630,0,0.3048,31.7,0.00331266,129.095
55,800,0,0.3048,31.7,0.00331266,129.235
56,1000,0,0.3048,31.7,0.00331266,127.365
57,1250,0,0.3048,31.7,0.00331266,124.355
58,1600,0,0.3048,31.7,0.00331266,122.365
59,2000,0,0.3048,31.7,0.00331266,122.375
60,2500,0,0.3048,31.7,0.00331266,120.755
61,3150,0,0.3048,31.7,0.00331266,119.135
62,4000,0,0.3048,31.7,0.00331266,118.145
63,5000,0,0.3048,31.7,0.00331266,115.645
64,6300,0,0.3048,31.7,0.00331266,113.775
65,8000,0,0.3048,31.7,0.00331266,110.515
66,10000,0,0.3048,31.7,0.00331266,108.265
67,800,1.5,0.3048,71.3,0.00336729,127.122
68,1000,1.5,0.3048,71.3,0.00336729,125.992
69,1250,1.5,0.3048,71.3,0.00336729,125.872
70,1600,1.5,0.3048,71.3,0.00336729,126.632
71,2000,1.5,0.3048,71.3,0.00336729,126.642
72,2500,1.5,0.3048,71.3,0.00336729,124.512
73,3150,1.5,0.3048,71.3,0.00336729,123.392
74,4000,1.5,0.3048,71.3,0.00336729,121.762
75,5000,1.5,0.3048,71.3,0.00336729,119.632
76,6300,1.5,0.3048,71.3,0.00336729,118.122
77,8000,1.5,0.3048,71.3,0.00336729,115.372
78,10000,1.5,0.3048,71.3,0.00336729,113.492
